"rgn_id","sector","year","value"
1,"mmw",2009,
1,"aqf",2009,
1,"cf",2009,4841
1,"se",2009,27
1,"mar",2009,449
1,"sb",2009,9
1,"tour",2009,684
1,"tran",2009,136
1,"wte",2009,
2,"mmw",2009,
2,"aqf",2009,
2,"cf",2009,17432
2,"se",2009,52
2,"mar",2009,1125
2,"sb",2009,1552
2,"tour",2009,4280
2,"tran",2009,413
2,"wte",2009,
6,"mmw",2009,
6,"aqf",2009,
6,"cf",2009,6747
6,"se",2009,18
6,"mar",2009,21
6,"sb",2009,12
6,"tour",2009,461
6,"tran",2009,
6,"wte",2009,
1,"mmw",2010,
1,"aqf",2010,
1,"cf",2010,5391
1,"se",2010,30
1,"mar",2010,500
1,"sb",2010,10
1,"tour",2010,762
1,"tran",2010,151
1,"wte",2010,
2,"mmw",2010,
2,"aqf",2010,
2,"cf",2010,19415
2,"se",2010,58
2,"mar",2010,1253
2,"sb",2010,1728
2,"tour",2010,4767
2,"tran",2010,460
2,"wte",2010,
6,"mmw",2010,
6,"aqf",2010,
6,"cf",2010,7514
6,"se",2010,20
6,"mar",2010,23
6,"sb",2010,13
6,"tour",2010,513
6,"tran",2010,
6,"wte",2010,
1,"mmw",2011,
1,"aqf",2011,
1,"cf",2011,5941.605163
1,"se",2011,33.06402428
1,"mar",2011,551.0670713
1,"sb",2011,11.02134143
1,"tour",2011,839.8262167
1,"tran",2011,166.4222555
1,"wte",2011,
2,"mmw",2011,
2,"aqf",2011,
2,"cf",2011,21397.93438
2,"se",2011,63.92378027
2,"mar",2011,1380.974081
2,"sb",2011,1904.487798
2,"tour",2011,5253.873458
2,"tran",2011,506.9817056
2,"wte",2011,
6,"mmw",2011,
6,"aqf",2011,
6,"cf",2011,8281.435948
6,"se",2011,22.04268285
6,"mar",2011,25.34908528
6,"sb",2011,14.32774385
6,"tour",2011,565.3948152
6,"tran",2011,
6,"wte",2011,
1,"mmw",2012,
1,"aqf",2012,
1,"cf",2012,6103.370134
1,"se",2012,33.96421889
1,"mar",2012,566.0703148
1,"sb",2012,11.3214063
1,"tour",2012,862.6911597
1,"tran",2012,170.9532351
1,"wte",2012,
2,"mmw",2012,
2,"aqf",2012,
2,"cf",2012,21980.51032
2,"se",2012,65.66415651
2,"mar",2012,1418.572209
2,"sb",2012,1956.339008
2,"tour",2012,5396.914381
2,"tran",2012,520.7846896
2,"wte",2012,
6,"mmw",2012,
6,"aqf",2012,
6,"cf",2012,8506.904691
6,"se",2012,22.64281259
6,"mar",2012,26.03923448
6,"sb",2012,14.71782818
6,"tour",2012,580.788143
6,"tran",2012,
6,"wte",2012,
1,"mmw",2013,
1,"aqf",2013,
1,"cf",2013,5141.039082
1,"se",2013,28.60900991
1,"mar",2013,476.8168319
1,"sb",2013,9.536336638
1,"tour",2013,726.6688518
1,"tran",2013,143.9986832
1,"wte",2013,
2,"mmw",2013,
2,"aqf",2013,
2,"cf",2013,18514.79758
2,"se",2013,55.3107525
2,"mar",2013,1194.902981
2,"sb",2013,1647.878971
2,"tour",2013,4545.971675
2,"tran",2013,438.6714854
2,"wte",2013,
6,"mmw",2013,
6,"aqf",2013,
6,"cf",2013,7165.60335
6,"se",2013,19.07267328
6,"mar",2013,21.93357427
6,"sb",2013,12.39723763
6,"tour",2013,489.2140695
6,"tran",2013,
6,"wte",2013,
1,"mmw",2014,
1,"aqf",2014,
1,"cf",2014,5370.837975
1,"se",2014,29.88780175
1,"mar",2014,498.1300292
1,"sb",2014,9.962600584
1,"tour",2014,759.1501645
1,"tran",2014,150.4352688
1,"wte",2014,
2,"mmw",2014,
2,"aqf",2014,
2,"cf",2014,19342.38903
2,"se",2014,57.78308339
2,"mar",2014,1248.313853
2,"sb",2014,1721.537381
2,"tour",2014,4749.171698
2,"tran",2014,458.2796269
2,"wte",2014,
6,"mmw",2014,
6,"aqf",2014,
6,"cf",2014,7485.898079
6,"se",2014,19.92520117
6,"mar",2014,22.91398134
6,"sb",2014,12.95138076
6,"tour",2014,511.08141
6,"tran",2014,
6,"wte",2014,
