"","rgn_id","rgn_label","year","I","E","S","Xtr","TRi","TRe"
"1",1,"El Oro",2009,0.900691902483713,0.44557314098807,0.586,0.394455657737233,106180.767,70700.427
"2",1,"El Oro",2010,0.867984145969055,0.481733842556705,0.586,0.395467370638048,102324.915,76438.154
"3",1,"El Oro",2011,0.891324485952769,0.524951951497734,0.586,0.414968996172997,105076.461,83295.701
"4",1,"El Oro",2012,0.88661067284202,0.585157985290503,0.586,0.431228216832829,104520.759,92848.773
"5",1,"El Oro",2013,0.88661067284202,0.627555797142551,0.586,0.443650775705479,104520.759,99576.161
"6",1,"El Oro",2014,0.886442156962541,0.716325008035394,0.586,0.469610779344395,104500.893,113661.438
"7",2,"Guayas",2009,0.900695653159646,0.445574565745047,0.586,0.394457174139075,834277.455,460037.025
"8",2,"Guayas",2010,0.867987760442814,0.481735382940517,0.586,0.395468881011316,803981.475,497371.55
"9",2,"Guayas",2011,0.891328197620752,0.524953630075025,0.586,0.414970575514863,825600.765,541992.575
"10",2,"Guayas",2012,0.886614364880665,0.585159856381567,0.586,0.431229846829834,821234.535,604152.975
"11",2,"Guayas",2013,0.886614364880665,0.627557803804126,0.586,0.443652445424644,821234.535,647927.075
"12",2,"Guayas",2014,0.88644584829945,0.716327298543863,0.586,0.469612532025091,821078.445,739577.85
"13",6,"Santa Elena",2009,0.900695428759352,0.445574708718134,0.586,0.394457150280904,460116.657,157865.337
"14",6,"Santa Elena",2010,0.8679875441914,0.481735537516653,0.586,0.39546886294046,443407.965,170676.974
"15",6,"Santa Elena",2011,0.891327975554277,0.524953798518753,0.586,0.414970559803398,455331.331,185989.031
"16",6,"Santa Elena",2012,0.886614143988599,0.58516004414388,0.586,0.431229837122816,452923.289,207319.863
"17",6,"Santa Elena",2013,0.886614143988599,0.627558005170818,0.586,0.443652439703709,452923.289,222341.291
"18",6,"Santa Elena",2014,0.886445627449368,0.716327528394337,0.586,0.469612534662206,452837.203,253791.978
