;;;Acuicultura y pesca de camarón;Pesca y acuicultura (excepto de camarón);Extracción de petróleo, gas natural y actividades de servicio relacionadas;Procesamiento y conservación de camarón;Procesamiento y conservación de pescado y otros productos acuáticos;Alojamiento y servicios de comida ;Transporte y almacenamiento;TOTAL
rgn_id;PROVINCIA;AÑO;A007;A008;A009;C012;C013;I036;H037;
1;EL ORO;2007;89.656;10.533;;95;;31.753;108.667;240.704
2;GUAYAS;2007;125.036;125.186;;202.945;4.829;394.269;795.423;1.647.687
6;SANTA ELENA;2007;8.993;32.020;30.896;2.112;;23.007;20.319;117.347
1;EL ORO;2008;91.700;10.773;;98;;32.477;111.145;246.192
2;GUAYAS;2008;127.886;128.040;;207.572;4.939;403.258;813.559;1.685.254
6;SANTA ELENA;2008;9.198;32.750;31.601;2.160;;23.532;20.782;120.023
1;EL ORO;2009;99.394;11.677;;106;;35.201;120.470;266.847
2;GUAYAS;2009;138.616;138.782;;224.987;5.353;437.091;881.816;1.826.647
6;SANTA ELENA;2009;9.970;35.497;34.252;2.342;;25.506;22.526;130.093
1;EL ORO;2010;104.562;12.284;;111;;37.032;126.734;280.723
2;GUAYAS;2010;145.824;145.999;;236.687;5.632;459.820;927.671;1.921.633
6;SANTA ELENA;2010;10.489;37.343;36.033;2.463;;26.832;23.697;136.857
1;EL ORO;2011;109.236;12.833;;116;;38.687;132.399;293.271
2;GUAYAS;2011;152.342;152.525;;247.266;5.883;480.372;969.134;2.007.522
6;SANTA ELENA;2011;10.958;39.012;37.643;2.573;;28.032;24.756;142.975
