rgn_id;PROVINCIA;CODIGO CIIU 4;DESCRIPCIÓN ACTIVIDAD;2010;2011;2012;2013;2014
1;El Oro;A0321;Acuicultura marina.; 987 ; 1.087 ; 1.117 ; 941 ; 983 
1;El Oro;B0620;Extracción de gas natural.; 90 ; 99 ; 102 ; 86 ; 89 
1;El Oro;B0893;Extracción de sal.; 56 ; 62 ; 64 ; 53 ; 56 
1;El Oro;C1020;Elaboración y conservación de pescados, crustáceos y molusco; 137 ; 150 ; 155 ; 130 ; 136 
1;El Oro;C3011;Construcción de buques y estructuras flotantes.; 19 ; 21 ; 21 ; 18 ; 19 
1;El Oro;I5510;Actividades de alojamiento para estancias cortas.; 1.321 ; 1.456 ; 1.496 ; 1.260 ; 1.316 
1;El Oro;I5590;Otras actividades de alojamiento.; 15 ; 17 ; 17 ; 15 ; 15 
1;El Oro;H5012;Transporte de carga marítimo y de cabotaje.; 284 ; 313 ; 321 ; 271 ; 283 
1;El Oro;N7911;Actividades de agencias de viajes.; 105 ; 116 ; 119 ; 100 ; 105 
1;El Oro;N7912;Actividades de operadores turísticos.; 17 ; 19 ; 20 ; 16 ; 17 
1;El Oro;A0311;Pesca marina.; 8.413 ; 9.272 ; 9.525 ; 8.023 ; 8.382 
2;Guayas;A0311;Pesca marina.; 16.893 ; 18.618 ; 19.125 ; 16.109 ; 16.829 
2;Guayas;C1020;Elaboración y conservación de pescados, crustáceos y molusco; 16.338 ; 18.007 ; 18.497 ; 15.581 ; 16.277 
2;Guayas;A0321;Acuicultura marina.; 2.472 ; 2.725 ; 2.799 ; 2.358 ; 2.463 
2;Guayas;B0893;Extracción de sal.; 108 ; 120 ; 123 ; 103 ; 108 
2;Guayas;C3011;Construcción de buques y estructuras flotantes.; 1.147 ; 1.264 ; 1.298 ; 1.094 ; 1.143 
2;Guayas;I5510;Actividades de alojamiento para estancias cortas.; 6.957 ; 7.668 ; 7.877 ; 6.635 ; 6.931 
2;Guayas;I5590;Otras actividades de alojamiento.; 57 ; 63 ; 65 ; 55 ; 57 
2;Guayas;H5011;Transporte de pasajeros marítimo y de cabotaje.; 150 ; 166 ; 170 ; 143 ; 150 
2;Guayas;H5012;Transporte de carga marítimo y de cabotaje.; 714 ; 787 ; 809 ; 681 ; 712 
2;Guayas;H5222;Actividades de servicios vinculadas al transporte acuático.; 2.102 ; 2.317 ; 2.380 ; 2.004 ; 2.094 
2;Guayas;N7911;Actividades de agencias de viajes.; 1.333 ; 1.469 ; 1.509 ; 1.271 ; 1.328 
2;Guayas;N7912;Actividades de operadores turísticos.; 781 ; 861 ; 885 ; 745 ; 778 
6;Santa Elena;A0321;Acuicultura marina.; 45 ; 50 ; 51 ; 43 ; 45 
6;Santa Elena;B0893;Extracción de sal.; 37 ; 41 ; 42 ; 36 ; 37 
6;Santa Elena;C1020;Elaboración y conservación de pescados, crustáceos y molusco; 73 ; 80 ; 83 ; 70 ; 73 
6;Santa Elena;C3011;Construcción de buques y estructuras flotantes.; 24 ; 27 ; 28 ; 23 ; 24 
6;Santa Elena;A0311;Pesca marina.; 11.825 ; 13.033 ; 13.388 ; 11.277 ; 11.781 
6;Santa Elena;I5510;Actividades de alojamiento para estancias cortas.; 890 ; 981 ; 1.008 ; 849 ; 887 
6;Santa Elena;N7912;Actividades de operadores turísticos.; 25 ; 27 ; 28 ; 24 ; 25 
6;Santa Elena;N7911;Actividades de agencias de viajes.; 67 ; 74 ; 76 ; 64 ; 67 
