PROVINCIA;CANTON;PARROQUIA;2010;2011;2012;2013;2014
Santa Elena;LIBERTAD                      ; LA LIBERTAD; 95.942 ; 97.770 ; 99.597 ; 101.420 ; 103.241 
Santa Elena;SALINAS                       ; ANCONCITO; 11.822 ; 12.193 ; 12.571 ; 12.956 ; 13.348 
Santa Elena;SALINAS                       ; JOSE LUIS TAMAYO; 22.064 ; 22.756 ; 23.462 ; 24.180 ; 24.911 
Santa Elena;SALINAS                       ; SALINAS; 34.789 ; 35.880 ; 36.993 ; 38.125 ; 39.278 
Santa Elena;SANTA ELENA                   ; ATAHUALPA; 3.532 ; 3.624 ; 3.717 ; 3.811 ; 3.906 
Santa Elena;SANTA ELENA                   ; CHANDUY; 16.363 ; 16.789 ; 17.220 ; 17.656 ; 18.096 
Santa Elena;SANTA ELENA                   ; SAN JOSE DE ANCON; 6.877 ; 7.056 ; 7.237 ; 7.420 ; 7.605 
Guayas;BALAO                         ; BALAO; 20.523 ; 21.004 ; 21.491 ; 21.980 ; 22.474 
Guayas;DURAN                         ; ELOY ALFARO (DURAN); 235.769 ; 242.358 ; 249.067 ; 255.868 ; 262.764 
Guayas;GUAYAQUIL                     ; GUAYAQUIL; 2.291.158 ; 2.319.910 ; 2.348.302 ; 2.376.278 ; 2.403.767 
Guayas;GUAYAQUIL                     ; MORRO; 5.019 ; 5.082 ; 5.144 ; 5.205 ; 5.266 
Guayas;GUAYAQUIL                     ; POSORJA; 24.136 ; 24.439 ; 24.738 ; 25.033 ; 25.322 
Guayas;GUAYAQUIL                     ; PUNA; 6.769 ; 6.854 ; 6.938 ; 7.020 ; 7.102 
Guayas;GUAYAQUIL                     ; TENGUEL; 11.936 ; 12.086 ; 12.234 ; 12.379 ; 12.523 
Guayas;NARANJAL                      ; NARANJAL; 39.839 ; 41.073 ; 42.334 ; 43.618 ; 44.925 
Guayas;NARANJAL                      ; SANTA ROSA DE FLANDES; 5.444 ; 5.613 ; 5.785 ; 5.960 ; 6.139 
Guayas;NARANJAL                      ; TAURA; 10.786 ; 11.120 ; 11.461 ; 11.809 ; 12.163 
Guayas;PLAYAS                        ; GENERAL VILLAMIL; 41.935 ; 43.377 ; 44.858 ; 46.372 ; 47.921 
El Oro;EL GUABO                      ; BARBONES (SUCRE); 5.707 ; 5.835 ; 5.964 ; 6.093 ; 6.222 
El Oro;EL GUABO                      ; EL GUABO; 29.980 ; 30.654 ; 31.331 ; 32.009 ; 32.688 
El Oro;EL GUABO                      ; TENDALES; 5.137 ; 5.253 ; 5.369 ; 5.485 ; 5.601 
El Oro;HUAQUILLAS                    ; HUAQUILLAS; 48.285 ; 49.285 ; 50.287 ; 51.286 ; 52.283 
El Oro;MACHALA                       ; EL RETIRO; 4.366 ; 4.427 ; 4.488 ; 4.547 ; 4.605 
El Oro;MACHALA                       ; MACHALA; 241.606 ; 245.001 ; 248.343 ; 251.624 ; 254.841 
El Oro;SANTA ROSA                    ; JAMBELI; 1.718 ; 1.744 ; 1.771 ; 1.796 ; 1.822 
